dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
continuation_score,Price Chart Continuation Pattern Similarity,Price Volume,560,0.9905,1.0,6.0,1.5,2026-03-01,continuation_score__fc560,reports/data_fields/all_scopes/variants/continuation_score__fc560.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
event_stock_model,Corporate Event Driven Stock Model,Model,3,0.9412,0.9507,8.0,1.7,2026-03-01,event_stock_model__fc3,reports/data_fields/all_scopes/variants/event_stock_model__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fund_holdings_panel,Global Institutional Fund Holdings,Institutions,6,0.2629,0.9274,8.0,2.0,2026-03-01,fund_holdings_panel__fc6,reports/data_fields/all_scopes/variants/fund_holdings_panel__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental23,Fundamental Point in Time Data,Fundamental,316,0.8103,1.0,6.0,1.8,2025-11-01,fundamental23__fc316,reports/data_fields/all_scopes/variants/fundamental23__fc316.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental27,A-shares Fundamental Data,Fundamental,1777,0.8089,1.0,3.0,1.8,2026-03-01,fundamental27__fc1777,reports/data_fields/all_scopes/variants/fundamental27__fc1777.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental4,Hong Kong Fundamental Data,Fundamental,1,0.9022,0.9507,4.0,1.8,2022-12-01,fundamental4__fc1,reports/data_fields/all_scopes/variants/fundamental4__fc1.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental5,China Fundamentals,Fundamental,957,0.712,0.9507,4.0,1.8,2022-07-01,fundamental5__fc957,reports/data_fields/all_scopes/variants/fundamental5__fc957.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental6,Company Fundamental Data for Equity,Fundamental,298,0.5,1.0,1.0,1.8,2022-05-01,fundamental6__fc298,reports/data_fields/all_scopes/variants/fundamental6__fc298.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
insider_feats,Global Insider Transaction Features,Other,118,0.5808,0.9507,10.0,1.9,2026-03-01,insider_feats__fc118,reports/data_fields/all_scopes/variants/insider_feats__fc118.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
macro61,CSI1000 and Risk Data,Macro,71,0.3307,0.9482,4.0,1.8,2026-03-01,macro61__fc71,reports/data_fields/all_scopes/variants/macro61__fc71.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
market_news_sent,Financial Market News Sentiment,Other,3,0.9974,0.8278,10.0,1.9,2026-03-01,market_news_sent__fc3,reports/data_fields/all_scopes/variants/market_news_sent__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
mfm_model_output,Multi Factor Model Universal Output,Risk,75,1.0,0.9507,6.0,1.6,2026-03-01,mfm_model_output__fc75,reports/data_fields/all_scopes/variants/mfm_model_output__fc75.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model135,Alternative technical factor models,Model,137,0.678,1.0,6.0,1.7,2025-10-01,model135__fc137,reports/data_fields/all_scopes/variants/model135__fc137.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model138,Stock Selection from Accounting-based Factors,Model,120,0.9985,0.9507,4.0,1.7,2022-12-01,model138__fc120,reports/data_fields/all_scopes/variants/model138__fc120.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model14,Quant Model Data,Model,524,0.8642,0.9507,3.0,1.7,2026-03-01,model14__fc524,reports/data_fields/all_scopes/variants/model14__fc524.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model144,Stock Selection DL model,Model,2,0.2893,0.9507,5.0,1.7,2022-09-01,model144__fc2,reports/data_fields/all_scopes/variants/model144__fc2.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model170,Asia Technical and Fundamental ranking model,Model,11,0.9653,0.9277,9.0,1.7,2025-10-01,model170__fc11,reports/data_fields/all_scopes/variants/model170__fc11.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model175,China Fundamentals and Technicals Model,Model,424,0.9734,0.9507,1.0,1.7,2026-03-01,model175__fc424,reports/data_fields/all_scopes/variants/model175__fc424.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model207,Asian Insider Transaction Data,Model,3,0.6457,0.9507,8.0,1.7,2025-10-01,model207__fc3,reports/data_fields/all_scopes/variants/model207__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model243,Combined Alpha Model,Model,4,0.922,1.0,3.0,1.7,2024-12-01,model243__fc4,reports/data_fields/all_scopes/variants/model243__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model26,Analyst Revisions,Model,126,0.6293,1.0,2.0,1.7,2025-11-01,model26__fc126,reports/data_fields/all_scopes/variants/model26__fc126.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model291,China Index Consitution History,Model,4,0.8007,0.9507,5.0,1.7,2025-07-01,model291__fc4,reports/data_fields/all_scopes/variants/model291__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model307,Global Sales Allocation Model Data,Model,14,0.6742,1.0,9.0,1.7,2026-03-01,model307__fc14,reports/data_fields/all_scopes/variants/model307__fc14.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model31,Earnings Quality Model,Model,148,0.9382,1.0,4.0,1.7,2025-11-01,model31__fc148,reports/data_fields/all_scopes/variants/model31__fc148.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model36,SmartRatios Model,Model,21,0.9808,0.9507,6.0,1.7,2025-11-01,model36__fc21,reports/data_fields/all_scopes/variants/model36__fc21.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model37,Text Mining Data,Model,49,0.6665,0.9507,7.0,1.7,2025-11-01,model37__fc49,reports/data_fields/all_scopes/variants/model37__fc49.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model39,Valuation Momentum Data,Model,10,0.9897,,1.0,1.7,2022-05-01,model39__fc10,reports/data_fields/all_scopes/variants/model39__fc10.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news11,Market Theme Analytics Data,News,10,0.3907,0.8278,6.0,1.8,2023-11-01,news11__fc10,reports/data_fields/all_scopes/variants/news11__fc10.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news21,Macro Economic Event Data,News,4,0.4043,0.9507,7.0,1.8,2025-11-01,news21__fc4,reports/data_fields/all_scopes/variants/news21__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news29,Significant Developments Data,News,10,0.965,0.9507,6.0,1.8,2025-11-01,news29__fc10,reports/data_fields/all_scopes/variants/news29__fc10.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news38,News Analytic Model Data,News,63,0.9275,1.0,6.0,1.8,2025-11-01,news38__fc63,reports/data_fields/all_scopes/variants/news38__fc63.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news46,Relevant News Analytics Data,News,37,1.0,0.9507,6.0,1.8,2025-11-01,news46__fc37,reports/data_fields/all_scopes/variants/news46__fc37.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news50,Web News Analytics Data,News,25,0.3961,0.9507,8.0,1.8,2025-11-01,news50__fc25,reports/data_fields/all_scopes/variants/news50__fc25.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news7,Real Time News Feed Data,News,2,0.7534,1.0,2.0,1.8,2025-11-01,news7__fc2,reports/data_fields/all_scopes/variants/news7__fc2.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news76,Textual News Feed Data,News,6,0.9372,0.822,7.0,1.8,2025-10-01,news76__fc6,reports/data_fields/all_scopes/variants/news76__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news79,Global Corporate News Analytics,News,85,0.7425,1.0,4.0,1.8,2025-11-01,news79__fc85,reports/data_fields/all_scopes/variants/news79__fc85.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news_sentiment_enriched,Chinese News Sentiment Enrichment,Other,7,0.8873,0.8275,9.0,1.9,2026-04-01,news_sentiment_enriched__fc7,reports/data_fields/all_scopes/variants/news_sentiment_enriched__fc7.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other315,Equity Swap Data,Other,32,0.2938,0.9499,8.0,1.9,2025-10-01,other315__fc32,reports/data_fields/all_scopes/variants/other315__fc32.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other370,Equity Share Events Data,Other,130,0.7644,1.0,7.0,1.9,2026-03-01,other370__fc130,reports/data_fields/all_scopes/variants/other370__fc130.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other496,Intraday FX rates,Other,91,0.7512,1.0,7.0,1.9,2024-07-01,other496__fc91,reports/data_fields/all_scopes/variants/other496__fc91.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other545,Linked Firms Momentum Data,Other,8,0.954,1.0,7.0,1.9,2025-11-01,other545__fc8,reports/data_fields/all_scopes/variants/other545__fc8.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other546,Institutional Network Analysis Dataset,Other,8,0.6808,0.9507,10.0,1.9,2023-11-01,other546__fc8,reports/data_fields/all_scopes/variants/other546__fc8.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other551,Alpha Toolkit Dataset,Macro,18,1.0,1.0,4.0,1.8,2023-11-01,other551__fc18,reports/data_fields/all_scopes/variants/other551__fc18.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other561,Retail trading activities from Virtual Portfolios,Other,141,0.9961,0.9507,5.0,1.9,2026-03-01,other561__fc141,reports/data_fields/all_scopes/variants/other561__fc141.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other592,Chinese Equity Relation Data,Other,7,0.7052,0.9507,7.0,1.9,2024-07-01,other592__fc7,reports/data_fields/all_scopes/variants/other592__fc7.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
other715,Snapshot Grouping Data,Other,18,0.9574,0.9507,7.0,1.9,2024-07-01,other715__fc18,reports/data_fields/all_scopes/variants/other715__fc18.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
pattern_scores,Chart Pattern Similarity Scores,Price Volume,504,0.9905,1.0,6.0,1.5,2026-03-01,pattern_scores__fc504,reports/data_fields/all_scopes/variants/pattern_scores__fc504.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
price_signal_dl,Deep Learning Price Signal Dataset,Model,28,0.6913,0.9507,7.0,1.7,2026-03-01,price_signal_dl__fc28,reports/data_fields/all_scopes/variants/price_signal_dl__fc28.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
pv1,Price Volume Data for Equity,Price Volume,24,1.0,1.0,1.0,1.5,2026-04-01,pv1__fc24,reports/data_fields/all_scopes/variants/pv1__fc24.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
pv106,Microstructure Spread Data,Price Volume,11,0.9994,0.9507,5.0,1.5,2025-11-01,pv106__fc11,reports/data_fields/all_scopes/variants/pv106__fc11.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
pv173,Corporate Bond Pricing Data,Price Volume,3,1.0,1.0,5.0,1.5,2025-06-01,pv173__fc3,reports/data_fields/all_scopes/variants/pv173__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
pv25,A-shares Index Data,Price Volume,284,0.7072,0.9507,3.0,1.5,2026-03-01,pv25__fc284,reports/data_fields/all_scopes/variants/pv25__fc284.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
pv27,A-shares Trade Data,Price Volume,458,0.8725,1.0,3.0,1.5,2026-03-01,pv27__fc458,reports/data_fields/all_scopes/variants/pv27__fc458.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
pv29,Derived Industry Classification,Price Volume,25,0.7643,0.9507,1.0,1.5,2025-10-01,pv29__fc25,reports/data_fields/all_scopes/variants/pv29__fc25.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
pv30,Alternate Industry Classification,Price Volume,250,0.8987,1.0,3.0,1.5,2025-11-01,pv30__fc250,reports/data_fields/all_scopes/variants/pv30__fc250.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
risk72,Specific return of extended factors,Risk,45,0.9657,0.9507,2.0,1.6,2026-03-01,risk72__fc45,reports/data_fields/all_scopes/variants/risk72__fc45.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
search_sentiment_cn,China Stock Search Sentiment Index,Other,3,0.9994,0.8278,9.0,1.9,2026-03-01,search_sentiment_cn__fc3,reports/data_fields/all_scopes/variants/search_sentiment_cn__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
sentiment27,Website Popularity Rankings,Sentiment,15,0.3077,1.0,4.0,1.8,2024-07-01,sentiment27__fc15,reports/data_fields/all_scopes/variants/sentiment27__fc15.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
shortinterest5,Daily Price Limit Data,Short Interest,3,0.9997,0.9507,5.0,1.3,2026-03-01,shortinterest5__fc3,reports/data_fields/all_scopes/variants/shortinterest5__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
socialmedia12,Sentiment Data for Equity,Social Media,2,0.6851,0.9507,2.0,1.1,2021-12-01,socialmedia12__fc2,reports/data_fields/all_scopes/variants/socialmedia12__fc2.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
univ1,Universe Dataset,Price Volume,3,0.89,1.0,5.0,1.5,2024-07-01,univ1__fc3,reports/data_fields/all_scopes/variants/univ1__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
